Date,Adj Close,Open,High,Low,Close,Volume
2018-08-16,18233.41,18581.98,18625.29,18387.06,18625.29,3182706
2018-08-17,18445.43,18711.92,18841.87,18625.29,18841.87,2142576
2018-08-20,18530.24,18841.87,19188.38,18690.27,18928.5,2205416
2018-08-21,18530.24,18885.18,18971.81,18798.55,18928.5,1979951
2018-08-22,18678.65,18950.15,19188.38,18928.5,19080.1,3312563
2018-08-23,18827.06,19101.76,19275.02,19101.76,19231.7,2319951
2018-08-24,18848.26,19231.7,19275.02,19015.13,19253.36,1453871
2018-08-27,18827.06,19188.38,19275.02,19145.07,19231.7,2098433
2018-08-28,18742.25,19188.38,19253.36,19080.1,19145.07,2100256
2018-08-29,18742.25,19123.41,19231.7,19036.79,19145.07,4600096
2018-08-30,18721.05,19145.07,19145.07,19036.79,19123.41,1459480
2018-08-31,18742.25,19123.41,19448.27,19101.76,19145.07,2371667
2018-09-04,18699.85,19101.76,19361.64,19058.44,19101.76,1464629
2018-09-05,18360.62,19080.1,19145.07,18625.29,18755.24,2201236
2018-09-06,17957.79,18668.61,18755.24,18343.75,18343.75,3570538
2018-09-07,18233.41,18408.72,18625.29,18343.75,18625.29,1174588
2018-09-10,18042.6,18711.92,18711.92,18430.38,18430.38,847933
2018-09-11,18297.02,18430.38,18711.92,18430.38,18690.27,1568242
2018-09-12,18254.62,18841.87,18928.5,18646.95,18646.95,1102395
2018-09-13,18403.03,18928.5,19015.13,18711.92,18798.55,1491802
2018-09-14,18890.67,18885.18,19361.64,18885.18,19296.67,6671319
2018-09-17,18699.85,19275.02,19275.02,19101.76,19101.76,1303967
2018-09-18,18996.67,18928.5,19404.96,18928.5,19404.96,1846160
2018-09-19,19272.29,19491.59,19773.13,19404.96,19686.5,3121481
2018-09-20,19463.11,19513.25,20011.36,19513.25,19881.42,4990132
2018-09-21,19463.11,19946.39,19946.39,19578.22,19881.42,3357912
2018-09-24,19547.92,19881.42,20141.31,19838.11,19968.05,2288345
2018-09-25,19463.11,19924.73,19968.05,19838.11,19881.42,1723502
2018-09-26,19526.71,19924.73,20271.25,19859.76,19946.39,2375500
2018-09-27,19590.32,19946.39,20141.31,19946.39,20011.36,2033464
2018-09-28,19632.72,20141.31,20141.31,20033.02,20054.68,1292377
2018-10-01,19505.51,20054.68,20119.65,19903.08,19924.73,1199960
2018-10-02,19208.69,19859.76,19924.73,19599.88,19621.53,2275577
2018-10-03,19293.5,19621.53,19794.79,19599.88,19708.16,861275
2018-10-04,19441.91,19708.16,19924.73,19664.85,19859.76,1088035
2018-10-05,19335.9,19903.08,19924.73,19729.82,19751.48,1173850
2018-10-08,19081.48,19708.16,19708.16,19491.59,19491.59,1181604
2018-10-09,18954.27,19491.59,19556.56,19361.64,19361.64,1480190
2018-10-10,19208.69,19361.64,19664.85,19361.64,19621.53,1606127
2018-10-11,18106.2,19058.44,19231.7,18322.09,18495.35,5028157
2018-10-12,18572.64,18408.72,19058.44,18062.21,18971.81,3181231
2018-10-15,18233.41,18971.81,19058.44,18625.29,18625.29,1197605
